Gene,MDA
RPL13A,0.0
PCYOX1,0.0
PCLAF,0.0
PCID2,0.0
PCED1B-AS1,0.0
PBXIP1,0.0
PBX4,0.0
PASK,0.0
PARP9,0.0
PAQR8,0.0
OSM,0.0
RPA2,0.0
SERPINB1,0.0
RPL3,0.0
TRAFD1,0.0
UBE2J1,0.0
UBALD2,0.0
TYMS,0.0
TYMP,0.0
TXNDC17,0.0
TXNDC12,0.0
TXN,0.0
TXK,0.0
TUT1,0.0
TUBGCP6,0.0
TTC14,0.0
TSEN54,0.0
TRMT13,0.0
TRIM21,0.0
TRAF3IP3,0.0
TEX2,0.0
TRABD2A,0.0
TOR1B,0.0
TOMM40L,0.0
TNFSF13B,0.0
TNFRSF25,0.0
TMEM60,0.0
TMEM140,0.0
TMEM121B,0.0
TMC6,0.0
TLR5,0.0
TLR10,0.0
TK1,0.0
TIMP2,0.0
TGFBR3,0.0
UBE2L6,0.0
UBE2S,0.0
UBR2,0.0
UHRF1,0.0
ZNF831,0.0
ZNF792,0.0
ZNF767P,0.0
ZNF721,0.0
ZNF540,0.0
ZNF529,0.0
ZNF439,0.0
ZNF438,0.0
ZNF395,0.0
ZNF329,0.0
ZNF30,0.0
ZNF296,0.0
ZNF264,0.0
ZNF213,0.0
ZNF211,0.0
ZFP90,0.0
ZDHHC19,0.0
ZDHHC12,0.0
ZCWPW1,0.0
ZBTB40,0.0
XRCC1,0.0
XAF1,0.0
WDR6,0.0
WDR59,0.0
VPS51,0.0
VNN1,0.0
VAMP5,0.0
USP7,0.0
UNC93B1,0.0
TFF3,0.0
TDRD7,0.0
RPL4,0.0
SAMSN1,0.0
SKAP1,0.0
SIRPA,0.0
SIGLEC5,0.0
SHISA5,0.0
SH3GLB1,0.0
SH3BP5L,0.0
SH2D1B,0.0
SGSM2,0.0
SESN1,0.0
SERPINB8,0.0
MOAP1,0.0
SCO2,0.0
SCD,0.0
SAP30,0.0
SAMD9L,0.0
TCN1,0.0
SAMD9,0.0
S1PR5,0.0
S1PR3,0.0
S100A9,0.0
S100A8,0.0
S100A12,0.0
RTP4,0.0
RRAGD,0.0
RPS3,0.0
RPS27A,0.0
RPS27,0.0
RPS23,0.0
RPS14,0.0
RPS13,0.0
SLC22A16,0.0
SLC22A4,0.0
SLC25A25-AS1,0.0
SLC2A5,0.0
TCF25,0.0
TC2N,0.0
TBC1D4,0.0
TBC1D2,0.0
TBC1D10C,0.0
TAP1,0.0
TAF6L,0.0
SWAP70,0.0
STYXL1,0.0
STX16,0.0
STT3B,0.0
STRBP,0.0
STMN3,0.0
STAT4,0.0
SRSF8,0.0
SRSF7,0.0
SRSF5,0.0
SPTLC2,0.0
SPSB3,0.0
SPOCK2,0.0
SPHK2,0.0
SPG11,0.0
SP110,0.0
SP100,0.0
SNHG1,0.0
SMCO4,0.0
SLC7A6,0.0
SLC66A2,0.0
SLC38A1,0.0
MPO,0.0
LY9,0.0
MNDA,0.0
COQ10A,0.0
DDIT3,0.0
DDAH2,0.0
CYSTM1,0.0
CYB561A3,0.0
CXCL10,0.0
CTSZ,0.0
CTSG,0.0
CTSA,0.0
CTNNAL1,0.0
CTDSP2,0.0
CSRNP1,0.0
CRY1,0.0
CREG1,0.0
COLQ,0.0
DEFA4,0.0
COL17A1,0.0
CNNM3,0.0
CMPK2,0.0
CMC2,0.0
CLEC5A,0.0
CLEC4D,0.0
CLDN15,0.0
CKS2,0.0
CKAP4,0.0
CITED4,0.0
CINP,0.0
CHMP5,0.0
CFP,0.0
DDX60L,0.0
DGCR6L,0.0
CFC1B,0.0
EIF3D,0.0
FBN2,0.0
FBL,0.0
FAR2,0.0
FAH,0.0
F5,0.0
F2RL1,0.0
F12,0.0
EPHA4,0.0
EPC1,0.0
EP300,0.0
MMS19,0.0
EIF4B,0.0
EIF3L,0.0
EIF2AK2,0.0
DHDDS,0.0
EHD4,0.0
EEF2,0.0
EEF1G,0.0
EEF1B2,0.0
ECHDC3,0.0
DYSF,0.0
DYNLT1,0.0
DRAM1,0.0
DOK3,0.0
DKC1,0.0
DIP2B,0.0
DHX58,0.0
DHRS9,0.0
CFD,0.0
CEP95,0.0
FBXO6,0.0
AP5B1,0.0
BCL7C,0.0
BATF,0.0
BANK1,0.0
B4GALT5,0.0
AXIN2,0.0
ATP6V0E2,0.0
ATOX1,0.0
ATG16L1,0.0
ATF7IP2,0.0
ATF5,0.0
ASGR2,0.0
ARIH2,0.0
ARHGEF18,0.0
ANXA3,0.0
BLVRA,0.0
ANXA2R,0.0
ANKRD22,0.0
ANAPC16,0.0
AKR1C3,0.0
AIM2,0.0
AHSA2P,0.0
AGTRAP,0.0
ADAR,0.0
ADAP2,0.0
ACTR1B,0.0
ACTL6A,0.0
ACOT13,0.0
ABLIM3,0.0
BEX1,0.0
BPI,0.0
CEBPE,0.0
CD200R1,0.0
CEACAM8,0.0
CEACAM6,0.0
CEACAM1,0.0
CDKN1B,0.0
CDKN1A,0.0
CDCA5,0.0
CDC42SE2,0.0
CDC20,0.0
CD96,0.0
CD7,0.0
CD6,0.0
CD38,0.0
CD28,0.0
CD1C,0.0
BST1,0.0
CCR1,0.0
CCNB2,0.0
CCDC106,0.0
CBX7,0.0
CBLB,0.0
CASP5,0.0
CARD6,0.0
CARD19,0.0
CARD16,0.0
CAPRIN2,0.0
CAMP,0.0
C6orf136,0.0
C1QB,0.0
FBXL18,0.0
ELANE,0.0
FCAR,0.0
IMP4,0.0
KIFC2,0.0
KHDC4,0.0
KDM3B,0.0
KCTD20,0.0
KCNJ2,0.0
JUP,0.0
JAK2,0.0
JAK1,0.0
ITGAM,0.0
ITFG2,0.0
ISG20,0.0
IRF9,0.0
IRF7,0.0
IL7R,0.0
KLF12,0.0
IL2RB,0.0
IL1B,0.0
IL11RA,0.0
IFTAP,0.0
IFITM2,0.0
IFITM1,0.0
IFI30,0.0
IFFO2,0.0
IDH1,0.0
HTATIP2,0.0
HP,0.0
HNRNPU,0.0
HNRNPD,0.0
KIR3DL1,0.0
KLHL22,0.0
HLX,0.0
LY96,0.0
MIIP,0.0
MFSD3,0.0
MEX3C,0.0
METAP1,0.0
MEGF6,0.0
MEFV,0.0
MCEMP1,0.0
MATK,0.0
MARCKSL1,0.0
MARCKS,0.0
MAPKAPK5-AS1,0.0
MAK,0.0
MAFB,0.0
LTF,0.0
KLHL3,0.0
LTBR,0.0
LRMDA,0.0
LPIN1,0.0
LOC100190986,0.0
LINC01686,0.0
LINC00926,0.0
LIN7A,0.0
LILRA5,0.0
LGALS9,0.0
LCMT2,0.0
LBH,0.0
LAP3,0.0
KLRF1,0.0
HMOX1,0.0
ZRSR2,0.0
GIMAP8,0.0
GZMK,0.0
GLYCTK,0.0
GSTO1,0.0
GSN,0.0
GSDMB,0.0
GRN,0.0
GATA3,0.0
FOXO1,0.0
GPR183,0.0
GALT,0.0
GPER1,0.0
FPR1,0.0
FRMD3,0.0
GPBAR1,0.0
GP1BA,0.0
HLA-DPB1,0.0
FXYD6,0.0
GADD45B,0.0
FYN,0.0
GORASP1,0.0
GYG1,0.0
GLRX,0.0
H1-0,0.0
GINS2,0.0
HLA-DPA1,0.0
FCMR,0.0
GARRE1,0.0
FCRL3,0.0
HES4,0.0
HERC6,0.0
HELZ2,0.0
FFAR2,0.0
HDC,0.0
GLIPR2,0.0
FLNA,0.0
FGFBP2,0.0
HDAC1,0.0
HCK,0.0
H2BC6,0.0
H2BC4,0.0
FMNL1,0.0
BATF2,-1.1102230246251566e-17
EPSTI1,-1.1102230246251566e-17
CENPW,-1.1102230246251566e-17
FNBP4,-1.1102230246251566e-17
SYTL1,-6.313131313129272e-05
TRIP6,-6.313131313130382e-05
CARNS1,-6.313131313130382e-05
SQOR,-6.313131313130382e-05
GNG5,-6.313131313130382e-05
NAPA,-6.313131313130382e-05
LGALS3BP,-6.313131313130382e-05
TBC1D31,-6.313131313131492e-05
ANG,-6.313131313131492e-05
RSAD2,-6.313131313131492e-05
SRRM2,-6.313131313131492e-05
IL1RN,-6.313131313131492e-05
COMMD4,-6.313131313131492e-05
CD247,-6.313131313131492e-05
DRAP1,-0.00012626262626261875
POLR2B,-0.00012626262626261875
ABCB1,-0.00012626262626262984
MAD2L1BP,-0.00012626262626262984
OASL,-0.00012626262626262984
IFI44L,-0.00012626262626262984
DGKA,-0.00012626262626262984
MX1,-0.00012626262626264095
STARD8,-0.00018939393939391148
IFIT1,-0.0001893939393939448
TCN2,-0.0001893939393939448
RNF181,-0.0001893939393939448
CIRBP,-0.0001893939393939448
SPATS2L,-0.0002525252525252375
SNF8,-0.0002525252525252486
ZCCHC18,-0.0002525252525252486
KLRB1,-0.0002525252525252486
HNRNPDL,-0.0002525252525252597
CASP8,-0.0003156565656565635
ZNF548,-0.0003156565656565635
DENND2D,-0.0003156565656565635
LHFPL2,-0.00037878787878786735
AZU1,-0.0003787878787878896
GPR84,-0.0003787878787878896
GNA15,-0.0005050505050505083
LRP3,-0.0006944444444444087
BST2,-0.0006944444444444309
CAPG,-0.0007575757575757569
FCGR1BP,-0.0009469696969696906
SMARCD3,-0.0010101010101010277
SRSF4,-0.001073232323232276
